"TEMPLATE_NUMBER","TEMPLATE_DESCRIPTION","BATCHES_PER_BOX","VOUCHERS_PER_BATCH","VOUCHER_DENOMINATION","TIME_WINDOW_DAYS","PIN_LENGTH","EXPIRE_PERIOD_YEARS","TANDEM_SUBMIT_INTERVAL_NORMAL","TANDEM_SUBMIT_INTERVAL_PEAK","DELETED"
"2","M55.0/TW90/PL14/BA10/VO100","10","100","55","90","14","24","1","1","N"
"7","M110.0/TW90/PL14/BA10/VO50","10","50","110","90","14","60","1","1","N"
"8","R275 VO/TW180/PL12/BA10/VO20/VT35P/VT36E","10","20","275","180","14","40","1","1","N"
"9","R29 VO/TW90/PL12/BA10/VO100/VT15P/VT16E","10","100","29","90","14","40","1","1","N"
"15","R1100 VO/TW365/PL12/BA10/VO5/VT37P/VT38E","10","5","1100","365","14","40","1","1","N"
"22","R12/R60YEBO/TW90/PL12/BA10/VO500/VT41P/VT42E","10","500","12","90","14","40","2","1","N"
"25","R49 SMS/TW30/PL12/BA10/VO100/VT43P/VT44E","10","100","49","30","14","40","1","1","N"
"53","R5/R25YEBO/TW90/PL12/BA10/VO500/VT5P/VT6E","10","500","5","90","14","40","1","1","N"
"96","R2 VO/TW90/PL12/BA10/VO500/VT96E","10","500","2","90","14","40","1","1","N"
"98","R10 VO/TW90/PL12/BA10/VO500/VT98E","10","500","10","90","14","40","1","1","N"
"99","R0 VAR/TW365/PL12/BA10/VO1000/VT99E","10","1000","0","365","14","60","1","1","N"
"101","R0 VAR/TW365/PL12/BA10/VO1000/VT99E","10","10","0","365","14","40","1","1","N"
"4722","R5/P60MinVB/TW365/PL12/BA10/VO100/VT4722E","10","100","5","365","14","40","1","1","N"
"4724","R2/P10MinVB/TW365/PL12/BA10/VO100/VT4720P/VT4724E","10","100","2","365","14","40","1","1","N"
"4726","R5/P50MB1Hr/TW365/PL12/BA10/VO100/VT4727P/VT4726E","10","100","5","365","14","40","1","1","N"
"5111","R799/M50GB30D/TW365/PL14/BA10/VO20/VT5111E","10","20","799","365","14","40","1","1","N"
"5112","R999/M100GB30D/TW365/PL14/BA10/VO20/VT5112E","10","20","999","365","14","40","1","1","N"
"5113","R129/M7GB7D/TW365/PL14/BA10/VO20/VT5113E","10","20","129","365","14","40","1","1","N"
"5194","R49/M350MB30D/TW365/PL12/BA10/VO20/VT5194E","10","20","49","365","14","40","1","1","N"
"5195","R69/M500MB30D/TW365/PL12/BA10/VO20/VT5195E","10","20","69","365","14","40","1","1","N"
"5196","R85/M1GB30D/TW365/PL12/BA10/VO20/VT5196E","10","20","85","365","14","40","1","1","N"
"5197","R159/M2GB30D/TW365/PL12/BA10/VO20/VT5197E","10","20","159","365","14","40","1","1","N"
"5198","R29/M200MB30D/TW365/PL12/BA10/VO50/VT5198E","10","50","29","365","14","40","1","1","N"
"5202","R12/MYMEG30/TW105/PL14/BA10/VO100/VT5202E","10","100","12","105","14","40","1","1","N"
"5205","R99/MYMEG500DB/TW108/PL12/BA10/VO20","10","20","99","108","14","40","1","1","Y"
"5206","R149/MYGIG1DB/TW109/PL12/BA10/VO20","10","20","149","109","14","40","1","1","Y"
"5208","R229/M3GB/TW365/PL12/BA10/VO10P/VT5208E","10","10","229","365","14","40","1","1","N"
"5209","R349/M6GB/TW365/PL12/BA10/VO5/VT5209E","10","5","349","365","14","40","1","1","N"
"5210","R469/M10GB/TW365/PL12/BA10/VO5/VT5210E","10","5","469","365","14","40","1","1","N"
"5211","R699/M30GB/TW365/PL12/BA10/VO5/VT5211E","10","5","699","365","14","40","1","1","N"
"5215","R12/M50MB/TW365/PL12/BA10/VO100/VT5215E","10","100","12","365","14","40","1","1","N"
"5216","R29/M150MB/TW365/PL12/BA10/VO50/VT5216E","10","50","29","365","14","40","1","1","N"
"5217","R55/M325MB/TW365/PL12/BA10/VO20/VT5217E","10","20","55","365","14","40","1","1","N"
"5225","R5/D20MB/TW365/PL12/BA10/VO100/VT5225E","10","100","5","365","14","40","1","1","N"
"5226","R9/D60MB/TW365/PL12/BA10/VO100/VT5226E","10","100","9","365","14","40","1","1","N"
"5227","R15/D100MB/TW365/PL12/BA10/VO100/VT5227E","10","100","15","365","14","40","1","1","N"
"5228","R27/D250MB/TW365/PL12/BA10/VO50/VT5228E","10","50","27","365","14","40","1","1","N"
"5229","R17/W120MB/TW365/PL12/BA10/VO100/VT5229E","10","100","17","365","14","440","1","1","N"
"5230","R35/W250MB/TW365/PL12/BA10/VO50/VT5230E","10","50","35","365","14","40","1","1","N"
"5231","R60/W500MB/TW365/PL12/BA10/VO20/VT5231E","10","20","60","365","14","40","1","1","N"
"5232","R80/W1GB/TW365/PL12/BA10/VO20/VT5232E","10","20","80","365","14","40","1","1","N"
"5233","R120/W2GB/TW365/PL12/BA10/VO20/VT5233E","10","20","120","365","14","40","1","1","N"
"5234","R100/14D1GB/TW365/PL12/BA10/VO20/VT5234E","10","20","100","365","14","40","1","1","N"
"5236","R119/100MBR6/TW365/PL12/BA10/VO10/VT5236E","10","10","119","365","14","40","1","1","N"
"5237","R219/250MBR6/TW365/PL12/BA10/VO10/VT5237E","10","10","219","365","14","40","1","1","N"
"5370","R29/W250MB/TW365/PL14/BA10/VO50/VT5370E","10","50","29","365","14","40","1","1","N"
"5371","R49/W500MB/TW365/PL14/BA10/VO20/VT5371E","10","20","49","365","14","40","1","1","N"
"5372","R69/W1GB/TW365/PL14/BA10/VO20/VT5372E","10","20","69","365","14","40","1","1","N"
"5373","R99/W2GB/TW365/PL14/BA10/VO20/VT5373E","10","20","99","365","14","40","1","1","N"
"5374","R199/W5GB/TW365/PL14/BA10/VO10/VT5340E","10","10","199","365","14","40","1","1","N"
"5375","R149/M2GB/TW365/PL14/BA10/VO20/VT5350E","10","20","149","365","14","40","1","1","N"
"5376","R249/M4GB/TW365/PL14/BA10/VO5/VT5376E","10","5","249","365","14","40","1","1","N"
"5377","R529/M15GB/TW365/PL14/BA10/VO5/VT5377E","10","5","529","365","14","40","1","1","N"
"5390","R17/W120MB/TW365/PL14/BA10/VO100/VT5390E","10","100","17","365","14","40","1","1","N"
"5391","R349/M6GB/TW365/PL14/BA10/VO5/VT5391E","10","5","349","365","14","40","1","1","N"
"5392","R699/M30GB/TW365/PL14/BA10/VO5/VT5392E","10","5","699","365","14","40","1","1","N"
"5393","R599/TA250MB/TW365/PL14/BA10/VO5/VT5393E","10","5","599","365","14","40","1","1","N"
"6523","R79/M500MB/TW365/PL12/BA10/VO20/VT6523E","10","20","79","365","14","40","1","1","N"
"6524","R99/M1GB/TW365/PL12/BA10/VO20/VT6524E","10","20","99","365","14","40","1","1","N"
"7532","R9.10/PB60MVBAN/TW365/PL12/BA10/VO100/VT7532E","10","100","9.1","365","14","40","1","1","N"
"7533","R3.10/PB10MVBAN/TW365/PL12/BA10/VO100/VT7533E","10","100","3.1","365","14","40","1","1","N"
"7534","R17.20/PCAN60M60MB/TW365/PL12/BA10/VO50/VT7534E","10","50","17.2","365","14","40","1","1","N"
"9482","R3.00/WA50MB1D/TW365/PL14/BA10/VT9482E","10","100","3","365","14","40","1","1","N"
"9483","R6.00/WA100MB3D/TW365/PL14/BA10/VT9483E","10","100","6","365","14","40","1","1","N"
"9484","R5.00/WA250MB1D/TW365/PL14/BA10/VT9484E","10","100","5","365","14","40","1","1","N"
"9485","R12.00/WA250MB7D/TW365/PL14/BA10//VT9485E","10","100","12","365","14","40","1","1","N"
